id;fuente
1;Acción Trabajo
2;beBee
3;Bolsa Universitaria - UTN
4;Bolsa Universitaria - IPN
5;Bolsa Universitaria - ITESM
6;Bolsa Universitaria - UNAM
7;Bolsa Universitaria - UNITEC
8;Bolsa Universitaria - UVM
9;Bumeran
10;Buscojobs
11;CompuTrabajo
12;CornerJob
13;EmpleoGob
14;EmpleoListo
15;EmpleoNuevo
16;EmpleosTI
17;Indeed
18;Java Mexico
19;Jobomas
20;Jobrapido
21;Linkendin
22;OCC
23;Otro
24;Recomendación
25;Talenteca
26;Trabajando
27;Trovit
28;TuGranEmpleo
