id;institucion
165;UNAM FES Cuautitlan
166;UNAM FES Iztacala
167;UNAM FES Zaragoza
168;UNITEC
169;UNIVER
170;Universidad Abierta y a Distancia de Mexico
171;Universidad Anahuac
172;Universidad Autonoma de Aguascalientes
173;Universidad Autonoma de Baja California
174;Universidad Autonoma de Campeche
175;Universidad Autonoma de Guerrero
176;Universidad Autonoma de Hidalgo
177;Universidad Autonoma de Nuevo Leon
178;Universidad Autonoma de Queretaro
179;Universidad Autonoma de Sinaloa
180;Universidad Autonoma de Tabasco
181;Universidad Autonoma de Tamaulipas
182;Universidad Autonoma de Tlaxcala
183;Universidad Autonoma de Zacatecas
184;Universidad Autonoma del Estado de Mexico
185;Universidad Autonoma Indigena de Mexico (UAIM)
186;Universidad Bancaria de Mexico
187;Universidad Bona Terra
188;Universidad Chapultepec
189;Universidad Cum Laude Ubi Gloria Semper
190;Universidad de Celaya
191;Universidad de Cuautitlan Izcalli
192;Universidad de Guadalajara
193;Universidad de Guanajuato
194;Universidad de la Sierra Sur
195;Universidad de los Altos de Chiapas
196;Universidad de Occidente
197;Universidad de Sonora
198;Universidad del Claustro de Sor Juana
199;Universidad del Distrito Federal
200;Universidad del Golfo de Mexico
201;Universidad del Istmo
202;Universidad del Papaloapan
203;Universidad del Pedregal
204;Universidad del Valle de Orizaba
205;Universidad ETAC
206;Universidad Grupo CEDIP
207;Universidad Hispanoamericana
208;Universidad Iberoamericana
209;Universidad Insurgentes
210;Universidad Interactiva a Distancia del Estado de Guanajuato
211;Universidad Interamericana para el Desarrollo
212;Universidad Intercontinental
213;Universidad Juarez de Tabasco
214;Universidad Justo Sierra
215;Universidad La Salle
216;Universidad Latinoamericana
217;Universidad Londres
218;Universidad Lucerna
219;Universidad Madero
220;Universidad Mexicana
221;Universidad Mexiquense Bicentenario
222;Universidad Nuevo Mundo
223;Universidad Panamericana
224;Universidad Politecnica de Pachuca
225;Universidad Politecnica de Queretaro
226;Universidad Politecnica de San Luis Potosi
227;Universidad Politecnica de Tlaxcala
228;Universidad Politecnica de Tulancingo
229;Universidad Politecnica de Victoria
230;Universidad Politecnica de Zacatecas
231;Universidad Politecnica del Estado de Morelos
232;Universidad Politecnica del Valle de Mexico
233;Universidad Popular Autonoma del Estado de Puebla (UPAEP)
234;Universidad Privada del Estado de Mexico
235;Universidad Regional del Sureste
236;Universidad San Carlos
237;Universidad Simon Bolivar
238;Universidad Tec Milenio
239;Universidad Tecnologica de Izucar de Matamoros
240;Universidad Tecnologica de la Huasteca Hidalguense
241;Universidad Tecnologica de la Mixteca
242;Universidad Tecnologica de la Region Norte de Guerrero
243;Universidad Tecnologica de la Selva
244;Universidad Tecnologica de la Sierra Hidalguense
245;Universidad Tecnologica de Mexico
246;Universidad Tecnologica de Nezahualcoyotl
247;Universidad Tecnologica de Puebla
248;Universidad Tecnologica de Tecamac
249;Universidad Tecnologica de Tula - Tepeji
250;Universidad Tecnologica de Xicotepec de Juarez (UTXJ)
251;Universidad Tecnologica del Norte de Guanajuato
252;Universidad Tecnologica del Sur del Estado de Mexico (UTSEM)
253;Universidad Tecnologica del Valle de Toluca
254;Universidad Tecnologica del Valle del Mezquital
255;Universidad Tecnologica Emiliano Zapata del Estado de Morelos
256;Universidad Tecnologica Fidel Velazquez
257;Universidad Tecnologica Latinoamericana (UTEL)
258;Universidad Tecnologica Metropolitana Merida Yucatan
259;Universidad Veracruzana
260;Univesidad Autonoma de Ciudad Juarez
261;Univesidad Nacional de Mar del Plata
262;UVM
263;Young Men's Christian Association (YMCA)
