id;colonia;municipio_id;codigo_postal_id
61352;San Andres Papalo;1081;18952
61353;San Juan Zapotitlan;1082;18953
61354;San Pedro Sochiapam;1082;18953
61355;San Juan Zautla;1082;18954
61356;Tomellin;1083;18955
61357;Valerio Trujano;1083;18956
61358;San Pedro Jocotipac;1084;18957
61359;Santa Maria Texcatitlan;1085;18958
61360;Jaltepetongo;1086;18959
61361;Parían;1087;18960
61362;San Francisco Cotahuixtla;1087;18961
61363;Santiago Nacaltepec;1087;18962
61364;Tejotepec;1087;18963
61365;El Moral;1087;18964
61366;San Juan Tonaltepec;1087;18965
61367;La Unión;1087;18966
61368;San José Aragón;1087;18966
61369;Natividad;1088;18967
61370;San Vicente Secc 2;1088;18967
61371;San Vicente Secc 3;1088;18967
61372;Agua Blanca;1088;18967
61373;Virgen de los Pobres;1088;18967
61374;Unidad Deportiva;1088;18967
61375;San Vicente Secc 1;1088;18967
61376;El Colorado;1088;18967
61377;La Trinidad Ixtlan;1088;18968
61378;San Juan Quiotepec;1089;18969
61379;Santa Maria Totomoxtla;1089;18970
61380;Santa Maria Nieves;1089;18970
61381;Maninaltepec;1089;18970
61382;San Pedro Yolox;1090;18971
61383;Rosario Temextitlan;1090;18972
61384;San Francisci la Reforma;1090;18972
61385;Santiago Comaltepec;1091;18973
61386;La Esperanza;1091;18974
61387;Soledad Tectitlan;1091;18975
61388;San Martin Soloyapan;1091;18976
61389;Abejones;1092;18977
61390;San Pablo Macuiltianguis;1093;18978
61391;San Juan Luvina;1093;18979
61392;Ixtlan de Juárez;1094;18980
61393;Santa Maria Yahuiche;1094;18980
61394;San Francisco;1094;18980
61395;La Soledad;1094;18980
61396;San Pedro;1094;18980
61397;La Asunción;1094;18980
61398;La Palma;1094;18981
61399;San Gaspar Yagalaxi;1094;18981
61400;La Josefina;1094;18981
61401;Santo Domingo Cacalotepec;1094;18982
61402;San Juan Anyogila;1094;18982
61403;Santa Maria Zoogachi;1094;18982
61404;Santiago Teotlaxco;1094;18982
61405;San Juan Yogila;1094;18982
61406;Santa Cruz Yagavila;1094;18982
61407;San Miguel Tiltepec;1094;18983
61408;Santa Maria Josaa;1094;18983
61409;La Luz;1094;18983
61410;Atepec;1095;18984
61411;San Juan Atepec;1095;18984
61412;San Pedro Yaneri;1096;18985
61413;San Juan Tepanzacolco;1096;18986
61414;San Isidro Aloapam;1097;18987
61415;San Miguel Aloapan;1097;18987
61416;Teococuilco de Marcos Perez;1098;18988
61417;Santa Ana Yareni;1099;18989
61418;San Juan Evangelista Analco;1100;18990
61419;Jaltianguis;1101;18991
61420;Santa Maria Jaltianguis;1101;18991
61421;San Miguel Del Rio;1102;18992
61422;San Juan Chicomezuchil;1103;18993
61423;Capulálpam de Méndez;1104;18994
61424;Nuevo Zoquiapan;1105;18995
61425;San Matias Zoquiapan;1105;18996
61426;San Andres Yatuni;1106;18997
61427;Santiago Xiacui;1106;18997
61428;San Pedro Nolasco;1106;18997
61429;Trinidad Ixtlan;1106;18998
61430;Francisco I Madero;1106;18998
61431;Guelatao de Juárez;1107;18999
61432;Santa Catarina Ixtepeji;1108;19000
61433;El Cerezal;1108;19001
61434;San Pedro Nexicho;1108;19002
61435;El Punto;1108;19002
61436;Tierra Colorada;1108;19003
61437;San Miguel Yotao;1109;19004
61438;Santa Catarina Lachatao;1110;19005
61439;Latuvi;1110;19005
61440;La Neveria;1110;19006
61441;Benito Juárez;1110;19006
61442;Cuajimoloyas;1111;19007
61443;San Miguel Amatlan;1111;19008
61444;Santa Maria Yavesia;1112;19009
61445;Laxopa;1113;19010
61446;Santiago Laxopa;1113;19010
61447;Santa Catarina Yahuio;1113;19011
61448;Yahuio;1113;19011
61449;San Sebastian Guiloxi;1113;19012
61450;San Ildefonso Villa Alta;1114;19013
61451;San Francisco Yatee;1114;19014
61452;San Juan Yalahui;1114;19015
61453;Santa Catarina Yetze-lalag;1114;19016
61454;San Juan Yetzacovi;1114;19016
61455;San Juan Tagui;1114;19016
61456;Santiago Camotlan;1115;19017
61457;San Miguel Reagui;1115;19018
61458;La Chachalaca;1115;19019
61459;San Francisco Yovego;1115;19019
61460;Asunción Lachicila;1115;19019
61461;Cristo Rey la Selva;1115;19019
61462;Llano Tortuga;1115;19019
61463;Arroyo Macho;1115;19019
61464;San Juan Yaee;1116;19020
61465;Santiago Yagallo;1116;19021
61466;Santa María Lachichina;1116;19022
61467;Santiago Lalopa;1117;19023
61468;San Juan Yatzona;1118;19024
61469;Santa Gertrudis;1119;19025
61470;Villa Talea de Castro;1119;19025
61471;San Bartolome Yatoni;1119;19026
61472;Otatitlan de Morelos;1119;19027
61473;Tanetze de Zaragoza;1120;19028
61474;Santa Maria Yaviche;1120;19029
61475;San Juan Juquila Vijanos;1121;19030
61476;San Felipe El Porvenir;1121;19031
61477;Las Delicias;1121;19031
61478;San Isidro Reforma;1121;19031
61479;San Cristóbal Lachirioag;1122;19032
61480;Santa Maria Temaxcalapa;1123;19033
61481;Santo Domingo Roayaga;1124;19034
61482;Santa Maria Yalina;1125;19035
61483;San Andres Solaga;1126;19036
61484;Santo Domingo Yojovi;1126;19036
61485;Santa Maria Tavehua;1126;19037
61486;San Juan Tabaa;1127;19038
61487;San Sebastián Betaza;1128;19039
61488;San Melchor Betaza;1128;19039
61489;Santo Tomas Lachitaa;1128;19040
61490;San Andres Yaa;1129;19041
61491;San Bartolome Zoogocho;1130;19042
61492;Zoogocho;1130;19042
61493;San Baltazar Yatzachi el Bajo;1131;19043
61494;Santa Maria Yohueche;1131;19044
61495;San Melchor Yohueche;1131;19044
61496;Santa María Zochixtepec;1131;19045
61497;San Jerónimo Zoochina;1131;19045
61498;San Baltazar Yatzachi El Alto;1131;19045
61499;Santiago Zoochila;1132;19046
61500;Villa Hidalgo;1133;19047
61501;San Francisco Cajonos;1134;19048
61502;San Miguel Cajonos;1134;19049
61503;San Mateo Cajonos;1135;19050
61504;San Pedro Cajonos;1136;19051
61505;Santo Domingo Xagacia;1137;19052
61506;San Pablo Yaganiza;1138;19053
61507;Santiago Choapam;1139;19054
61508;5 de Mayo;1139;19054
61509;San Juan Del Rio;1139;19054
61510;Santa Maria Yahuive;1139;19054
61511;Santo Domingo Latani;1139;19055
61512;San Jacinto Yaveloxi;1139;19056
61513;Rio Chiquito;1140;19057
61514;Santiago Jocotepec;1140;19057
61515;Montenegro;1140;19057
61516;San Antonio las Palmas;1140;19058
61517;Playa Limón;1140;19059
61518;San Pedro Tepinapa (Comunal);1140;19060
61519;Arroyo Tinta;1140;19060
61520;San Vicente Arroyo Jabalí;1140;19061
61521;Rancho Palmar;1140;19061
61522;Linda Vista;1140;19061
61523;Plan Mata de Caña;1140;19061
61524;La Alicia;1140;19061
61525;La Isla;1140;19062
61526;Soledad Vista Hermosa;1140;19062
61527;Bailey;1140;19062
61528;Piedra de Parroquín;1140;19062
61529;Plan Martín Chino;1140;19062
61530;Plan de San Luis;1140;19062
61531;El Ojo de Agua;1140;19063
61532;Luis Echeverría;1140;19063
61533;San José Río Manso (Nuevo Río Manso);1140;19063
61534;Paso de San Jacobo;1140;19063
61535;La Esperanza;1140;19063
61536;San Miguel Lachixola;1140;19064
61537;Arroyo Bobo;1140;19064
61538;El Porvenir;1140;19064
61539;San Pedro Tepinapa (Ejidal);1140;19065
61540;Paso Del Águila;1141;19066
61541;San Lorenzo;1141;19066
61542;Ignacio Zaragoza;1141;19066
61543;San Juan Lalana;1141;19066
61544;San Miguel y La Matilde;1141;19067
61545;San Isidro Arenal;1141;19068
61546;La Esperanza;1141;19069
61547;Arroyo Blanco;1141;19070
61548;Yugope;1141;19070
61549;Arroyo Tomate;1141;19071
61550;Monte Negro;1141;19072
61551;Villa Nueva;1141;19073
61552;San José Río Manzo;1141;19073
61553;Asunción Lacova;1141;19074
61554;Santa Cecilia de Madero;1141;19074
61555;Santa María la Nopalera;1141;19075
61556;Santiago Jalahui;1141;19076
61557;Zapotitancillo;1142;19077
61558;Santiago Yaveo;1142;19077
61559;San Juan Jaltepec;1142;19077
61560;La Trinidad;1142;19077
61561;Santa Maria Yaveo;1142;19078
61562;Campo Nuevo;1142;19079
61563;Tierra Quemada;1142;19080
61564;Bella Vista;1142;19081
61565;San Juan Petlapa;1143;19082
61566;San Juan Tuavela;1143;19083
61567;San Juan Comaltepec;1144;19084
61568;San Juan Lealao;1144;19084
61569;San Isidro Tres Arroyos;1144;19085
61570;Lachixova;1144;19086
61571;Heroica Ciudad de Huajuapan de León Centro;1145;19087
61572;José López Alavez;1145;19088
61573;Pedregal de la Mixteca;1145;19088
61574;Valerio Trujano;1145;19088
61575;Insurgentes;1145;19088
61576;Bella Vista;1145;19088
61577;Las Lomas;1145;19088
61578;Acatima;1145;19089
61579;Villa Universitaria;1145;19089
61580;San Isidro Oriente;1145;19090
61581;Antonio de León Fovissste;1145;19090
61582;Las Huertas;1145;19090
61583;Puerta Del Sol;1145;19090
61584;Santa Rosa 1a. Sección;1145;19090
61585;Vista Hermosa;1145;19090
61586;Santa Rosa 2a. Sección;1145;19090
61587;Santa Teresa;1145;19090
61588;Santa Cruz;1145;19090
61589;San Diego;1145;19090
61590;Monte Alban;1145;19090
61591;FIOB;1145;19090
61592;La Estancia;1145;19090
61593;San Antonio;1145;19090
61594;Lindavista;1145;19090
61595;Héroes de La Independencia;1145;19090
61596;El Tanque;1145;19090
61597;Altavista Juárez;1145;19090
61598;Las Flores;1145;19090
61599;Del Maestro 2a Sección;1145;19090
61600;La Ermita;1145;19090
61601;Chapultepec;1145;19090
61602;El Calvario;1145;19090
61603;Antonio de León Fovissste 3ra. Sección;1145;19090
61604;La SARH;1145;19090
61605;La Esperanza;1145;19090
61606;Villa de Los Ángeles;1145;19090
61607;San Mateo;1145;19090
61608;Las Peñitas;1145;19090
61609;Del Maestro 1a Sección;1145;19090
61610;Los Naranjos;1145;19090
61611;Agua Dulce;1145;19090
61612;Antonio de León Fovissste 2da. Sección;1145;19090
61613;San Isidro Poniente;1145;19091
61614;Militar;1145;19091
61615;Antonio de León;1145;19091
61616;Santa Isabel;1145;19091
61617;La Merced;1145;19091
61618;Los Presidentes 2da Sección;1145;19091
61619;La Antorcha;1145;19091
61620;Reforma 2a. Sección;1145;19091
61621;Las Campanas;1145;19091
61622;Los Pinos 2a. Sección;1145;19091
61623;Esquipulas;1145;19091
61624;Tepeyac;1145;19091
61625;Reforma Agraria;1145;19091
61626;La Joya;1145;19091
61627;El Mirador;1145;19091
61628;Morelos;1145;19091
61629;Sinahi 1a. Sección;1145;19091
61630;Reforma 1a. Sección;1145;19091
61631;San Miguel;1145;19091
61632;Los Presidentes;1145;19091
61633;Fidepal;1145;19091
61634;Agencia Municipal Rancho Solano;1145;19091
61635;La Soledad;1145;19091
61636;Río Balsas;1145;19091
61637;Buenavista;1145;19091
61638;Lázaro Cárdenas 2da Sección;1145;19091
61639;Las Palmas;1145;19092
61640;El Carmen II;1145;19092
61641;Salto del Agua 2a. Sección;1145;19092
61642;Del Carmen;1145;19092
61643;Santa Fé;1145;19092
61644;El Rosario;1145;19092
61645;Salto del Agua 1a. Sección;1145;19092
61646;San Rafael 2 Sección;1145;19092
61647;Aviación Poniente;1145;19092
61648;Mixteca de Cárdenas Infonavit;1145;19092
61649;Los Álamos 2da. Sección;1145;19092
61650;Niños Héroes;1145;19092
61651;San Pedro de los Pinos;1145;19092
61652;Santa María Xochixtlapilco;1145;19092
61653;Los Álamos 1a. Sección;1145;19092
61654;Cuauhtémoc;1145;19092
61655;Jardines Del Sur;1145;19092
61656;La Providencia;1145;19092
61657;Lázaro Cárdenas 1ra. Sección;1145;19092
61658;Aviación 2a. Secc;1145;19092
61659;Sinahi 2a. Sección;1145;19092
61660;San Rafael 1 Sección;1145;19092
61661;Las Palmas;1145;19092
61662;El Rosario 2da. Sección;1145;19092
61663;Aviación 1a Secc;1145;19092
61664;Las Animas;1145;19092
61665;Del Valle;1145;19092
61666;Lázaro Cárdenas;1145;19092
61667;El Palmar;1145;19092
61668;Corral de Piedra;1145;19093
61669;Yuxichi;1145;19093
61670;Santa Maria Ayu;1145;19093
61671;Magdalena Tetaltepec;1145;19093
61672;Ahuehuetitlan de Gonzalez;1145;19093
61673;Santa Maria Xochixtlapilco;1145;19094
61674;El Molino;1145;19094
61675;Santiago Chilixtlahuaca;1145;19094
61676;San Sebastián Progreso;1145;19094
61677;San Pedro Yodoxuxi;1145;19094
61678;San Miguel Papalutla;1145;19094
61679;La Estancia;1145;19094
61680;Lázaro Cárdenas;1146;19095
61681;Santiago Chazumba;1146;19095
61682;Chazumba;1146;19095
61683;Cerro Colorado;1146;19095
61684;Las Águilas;1146;19095
61685;Tianguistengo;1146;19096
61686;Santo Domingo Tianguistengo;1146;19096
61687;Chichihualtepec;1146;19097
61688;San Jose Chichihualtepec;1146;19097
61689;Trinidad Huastepec;1146;19098
61690;Acaquizapan;1146;19099
61691;San Juan Nochixtlan;1146;19100
61692;Maninaltepec;1146;19100
61693;San Sebastián Frontera;1146;19101
61694;Olleras;1146;19101
61695;Lunatitlan Del Progreso;1146;19102
61696;El Higo;1146;19102
61697;Cosoltepec;1147;19103
61698;Joluxtla;1147;19104
61699;Chinango;1147;19105
61700;Tultitlan;1147;19106
61701;Tequixtepec;1148;19107
61702;San Pedro y San Pablo Tequixtepec;1148;19107
61703;San Juan Yolotepec;1148;19108
61704;San Francisco Huapanapam;1148;19109
61705;Huapanapam;1148;19109
61706;San Miguel Ixtápam;1148;19110
61707;Santa Catalina Chinango;1148;19111
61708;Santa Maria Mixquitlahuaca;1148;19112
61709;San Juan Bautista Suchitepec;1149;19113
61710;Cuautepec Guadalupe;1149;19114
61711;Zapoquilla;1150;19115
61712;Membrillos;1150;19116
61713;Miltepec;1151;19117
61714;San Jerónimo Silacayoapilla;1152;19118
61715;Tejaltitlán;1152;19119
61716;Saucitlan de Morelos;1152;19120
61717;Zapotitlan Palmas;1153;19121
61718;San Andres Dinicuiti;1154;19122
61719;Santiago Del Rio;1154;19122
61720;San Antonio de León;1154;19122
61721;Santa Maria Tutla;1154;19122
61722;Santiago Cacaloxtepec;1155;19123
61723;Asunción Coyotepeji;1156;19124
61724;Camotlan;1157;19125
61725;Santa Maria Camotlan;1157;19125
61726;Santiago Huajolotitlan;1158;19126
61727;San Sebastián Progreso;1158;19126
61728;El Zapote;1158;19127
61729;La Luz;1158;19128
61730;San Francisco El Chico;1158;19129
61731;San Francisco El Grande;1158;19130
61732;Santiago Tamazola;1159;19131
61733;Santa Ana Rayón;1159;19132
61734;San Luis Morelia;1159;19133
61735;San Bartolo Salinas;1159;19134
61736;San Jose Zocoteaca de Bravo;1159;19135
61737;San Juan Cieneguilla;1160;19136
61738;Guadalupe Del Recreo;1161;19137
61739;Zapotitlan Lagunas;1161;19137
61740;San Miguel Hidalgo;1161;19138
61741;Santa Cruz Vista Hermosa;1161;19139
61742;San Juan Ihualtepec;1162;19140
61743;San Jose Chepetlan;1162;19141
61744;San Nicolás Hidalgo;1163;19142
61745;San Pedro Salinas;1163;19143
61746;Guadalupe de Ramirez;1164;19144
61747;San Antonio;1164;19144
61748;De Jesús;1164;19144
61749;San Jose;1164;19144
61750;Guadalupe;1164;19144
61751;San Ildefonso Salinas;1164;19145
61752;Santa Maria Salinas;1164;19146
61753;San Andres Tepetlapa;1165;19147
61754;La Luz Tenexcalco;1166;19148
61755;San Miguel Ahuehuetitlan;1166;19149
61756;San Mateo Nejapam;1167;19150
61757;Santo Domingo Hidalgo;1167;19151
61758;Tlachichilco;1168;19152
61759;San Juan Bautista Tlachichilco;1168;19152
61760;El Socorrito;1169;19153
61761;El Refugio;1169;19153
61762;Tezoatlan de Segura y Luna;1169;19153
61763;El Perú;1169;19153
61764;San Jose;1169;19153
61765;El Rosario;1169;19153
61766;San Sebastián;1169;19153
61767;San Juan Diquiyu;1169;19154
61768;Juquila de Leon;1169;19154
61769;Santa Maria Tindu;1169;19155
61770;San Marcos Garzon;1169;19156
61771;San Vicente Del Palmar;1169;19156
61772;San Andres Yutatio;1169;19157
61773;Yucuñuti de Benito Juárez;1169;19157
61774;El Naranjo;1169;19158
61775;San Juan Cuitito;1169;19159
61776;Yocuquimi de Ocampo;1169;19160
61777;Guadalupe de Cisneros;1169;19161
61778;Las Peñas;1169;19161
61779;Fresnillo de Trujano;1170;19162
61780;Guamucil de Guerrero;1170;19163
61781;Ciruelos de Guaponcingo;1170;19164
61782;Santiago Ayuquililla;1171;19165
61783;Santa Catarina Estancia;1171;19165
61784;Ayuquililla;1171;19165
61785;Guadalupe de Benito Juárez;1171;19166
61786;San Jose Ayuquila;1172;19167
61787;El Centenario;1172;19168
61788;San Martin Zacatepec;1173;19169
61789;Plan Del Vergel;1173;19169
61790;La Expiracion;1173;19169
61791;San Miguel Amatitlan;1174;19170
61792;Amatitlan;1174;19170
61793;San Lorenzo Vista Hermosa;1174;19171
61794;Venta Uribe de Juárez;1174;19172
61795;La Laguna;1174;19173
61796;Santa Cruz el Limón;1174;19173
61797;La Nueva Tenochtitlán;1174;19173
61798;Concepción Porfirio Diaz;1174;19174
61799;Mariscala de Juárez Centro;1175;19175
61800;20 de Noviembre;1175;19175
61801;Santa Cruz El Fraile;1175;19176
61802;Santa Maria Nieves;1175;19176
61803;Guadalupe La Huertilla;1175;19177
61804;La Huertilla;1175;19177
61805;Guadalupe Copaltepec;1175;19177
