id;estatus
1;Meeting Fase II
2;Asignación de personal por reclutamiento
3;Asignación de personal por outsourcing
4;Validación de candidato
5;Solicitud de CV actualizado
6;Solicitud de evaluaciones
7;Seguimiento a contratación por reclutamiento
8;Tarea genérica
