id;nombre;descripcion;activated;deleted;created_by;created_date;last_modified_by;last_modified_date
56;Eliminar tipo de periodo;Eliminar tipo de periodo;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
57;Consultar nivel de perfil;Consultar nivel de perfil;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
58;Editar nivel de perfil;Editar nivel de perfil;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
59;Agregar nivel de perfil;Agregar nivel de perfil;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
60;Eliminar nivel de perfil;Eliminar nivel de perfil;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
61;Consultar referencias laborales;Consultar referencias laborales;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
62;Editar referencias laborales;Editar referencias laborales;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
63;Agregar referencias laborales;Agregar referencias laborales;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
64;Eliminar referencias laborales;Eliminar referencias laborales;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
65;Consultar estatus academico;Consultar estatus academico;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
66;Editar estatus academico;Editar estatus academico;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
67;Agregar estatus academico;Agregar estatus academico;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
68;Eliminar estatus academico;Eliminar estatus academico;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
69;Consultar fuente de reclutamiento;Consultar fuente de reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
70;Editar fuente de reclutamiento;Editar fuente de reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
71;Agregar fuente de reclutamiento;Agregar fuente de reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
72;Eliminar fuente de reclutamiento;Eliminar fuente de reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
73;Consultar esquema de contreatación kode;Consultar esquema de contreatación kode;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
74;Editar esquema de contreatación kode;Editar esquema de contreatación kode;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
75;Agregar esquema de contreatación kode;Agregar esquema de contreatación kode;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
76;Eliminar esquema de contreatación kode;Eliminar esquema de contreatación kode;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
77;Consultar esquema de contreatación reclutamiento;Consultar esquema de contreatación reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
78;Editar esquema de contreatación reclutamiento;Editar esquema de contreatación reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
79;Agregar esquema de contreatación reclutamiento;Agregar esquema de contreatación reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
80;Eliminar esquema de contreatación reclutamiento;Eliminar esquema de contreatación reclutamiento;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
81;Consultar estatus laboral;Consultar estatus laboral;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
82;Editar estatus laboral;Editar estatus laboral;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
83;Agregar estatus laboral;Agregar estatus laboral;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
84;Eliminar estatus laboral;Eliminar estatus laboral;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
85;Consultar cuenta;Consultar cuenta;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
86;Editar cuenta;Editar cuenta;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
87;Agregar cuenta;Agregar cuenta;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
88;Eliminar cuenta;Eliminar cuenta;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
89;Consultar skill;Consultar skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
90;Editar skill;Editar skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
91;Agregar skill;Agregar skill;true;false;admin;2019-06-04T13:48:07;admin;2019-06-03T15:20:42
